Date,Close
2025-02-24,130.2516326904297
2025-02-25,126.60242462158205
2025-02-26,131.2514190673828
2025-02-27,120.12384033203124
2025-02-28,124.89279174804688
2025-03-03,114.03515625
2025-03-04,115.96473693847656
2025-03-05,117.2744598388672
2025-03-06,110.5459213256836
2025-03-07,112.66545867919922
2025-03-10,106.95669555664062
2025-03-11,108.73631286621094
2025-03-12,115.7254409790039
2025-03-13,115.56546020507812
2025-03-14,121.65469360351562
2025-03-17,119.51496124267578
2025-03-18,115.41547393798828
2025-03-19,117.50520324707033
2025-03-20,118.51508331298828
2025-03-21,117.68518829345705
2025-03-24,121.3947296142578
2025-03-25,120.67481994628906
2025-03-26,113.74568939208984
2025-03-27,111.41597747802734
2025-03-28,109.65619659423828
2025-03-31,108.36636352539062
2025-04-01,110.13614654541016
2025-04-02,110.4061050415039
2025-04-03,101.78720092773438
2025-04-04,94.29813385009766
2025-04-07,97.6277084350586
2025-04-08,96.2878875732422
2025-04-09,114.31561279296876
2025-04-10,107.55646514892578
2025-04-11,110.9160385131836
2025-04-14,110.6960678100586
2025-04-15,112.18588256835938
2025-04-16,104.4768524169922
2025-04-17,101.47722625732422
2025-04-21,96.89781188964844
2025-04-22,98.87755584716795
2025-04-23,102.69707489013672
2025-04-24,106.4166030883789
2025-04-25,110.99604034423828
2025-04-28,108.71631622314452
2025-04-29,109.00627899169922
2025-04-30,108.9062957763672
2025-05-01,111.59595489501952
2025-05-02,114.485595703125
2025-05-05,113.80567932128906
2025-05-06,113.52571868896484
2025-05-07,117.04527282714844
2025-05-08,117.35523986816406
2025-05-09,116.63532257080078
2025-05-12,122.98452758789062
2025-05-13,129.9136505126953
2025-05-14,135.32296752929688
2025-05-15,134.8130340576172
2025-05-16,135.38296508789062
2025-05-19,135.55294799804688
2025-05-20,134.36309814453125
2025-05-21,131.78341674804688
2025-05-22,132.81329345703125
2025-05-23,131.2734832763672
2025-05-27,135.48294067382812
2025-05-28,134.7930450439453
2025-05-29,139.17250061035156
2025-05-30,135.11300659179688
2025-06-02,137.3627166748047
2025-06-03,141.2022247314453
2025-06-04,141.9021453857422
2025-06-05,139.97239685058594
2025-06-06,141.70216369628906
2025-06-09,142.612060546875
2025-06-10,143.94189453125
2025-06-11,142.8219451904297
2025-06-12,144.9918212890625
2025-06-13,141.9619903564453
2025-06-16,144.6818389892578
2025-06-17,144.1118621826172
2025-06-18,145.47178649902344
2025-06-20,143.84188842773438
2025-06-23,144.161865234375
2025-06-24,147.8916473388672
2025-06-25,154.30130004882812
2025-06-26,155.01126098632812
2025-06-27,157.74110412597656
2025-06-30,157.98109436035156
2025-07-01,153.29136657714844
2025-07-02,157.2411346435547
2025-07-03,159.3310089111328
2025-07-07,158.2310791015625
2025-07-08,159.99098205566406
2025-07-09,162.87081909179688
2025-07-10,164.09075927734375
2025-07-11,164.91070556640625
2025-07-14,164.06076049804688
2025-07-15,170.69036865234375
2025-07-16,171.36033630371094
2025-07-17,172.99024963378906
2025-07-18,172.40028381347656
2025-07-21,171.37034606933594
2025-07-22,167.0205841064453
2025-07-23,170.77037048339844
2025-07-24,173.73020935058594
2025-07-25,173.49021911621094
2025-07-28,176.7400360107422
2025-07-29,175.50009155273438
2025-07-30,179.25990295410156
2025-07-31,177.85997009277344
2025-08-01,173.710205078125
2025-08-04,179.98985290527344
2025-08-05,178.24993896484375
2025-08-06,179.40988159179688
2025-08-07,180.7598114013672
2025-08-08,182.689697265625
2025-08-11,182.0497283935547
2025-08-12,183.1496734619141
2025-08-13,181.5797576904297
2025-08-14,182.00973510742188
2025-08-15,180.4398193359375
2025-08-18,181.99972534179688
2025-08-19,175.63009643554688
2025-08-20,175.39010620117188
2025-08-21,174.97012329101562
2025-08-22,177.97996520996094
2025-08-25,179.79986572265625
2025-08-26,181.75975036621097
2025-08-27,181.5897674560547
2025-08-28,180.1598358154297
2025-08-29,174.170166015625
2025-09-02,170.77037048339844
2025-09-03,170.61038208007812
2025-09-04,171.65032958984375
2025-09-05,167.01058959960938
2025-09-08,168.30050659179688
2025-09-09,170.7503662109375
2025-09-10,177.32000732421875
2025-09-11,177.1699981689453
2025-09-12,177.82000732421875
2025-09-15,177.75
2025-09-16,174.8800048828125
2025-09-17,170.2899932861328
2025-09-18,176.24000549316406
2025-09-19,176.6699981689453
2025-09-22,183.61000061035156
2025-09-23,178.42999267578125
2025-09-24,176.97000122070312
2025-09-25,177.69000244140625
2025-09-26,178.19000244140625
2025-09-29,181.8500061035156
2025-09-30,186.5800018310547
2025-10-01,187.2400054931641
2025-10-02,188.88999938964844
2025-10-03,187.6199951171875
2025-10-06,185.5399932861328
2025-10-07,185.0399932861328
2025-10-08,189.11000061035156
2025-10-09,192.57000732421875
2025-10-10,183.16000366210935
2025-10-13,188.32000732421875
2025-10-14,180.02999877929688
2025-10-15,179.8300018310547
2025-10-16,181.80999755859375
2025-10-17,183.22000122070312
2025-10-20,182.63999938964844
2025-10-21,181.16000366210935
2025-10-22,180.27999877929688
2025-10-23,182.16000366210935
2025-10-24,186.2599945068359
2025-10-27,191.4900054931641
2025-10-28,201.02999877929688
2025-10-29,207.0399932861328
2025-10-30,202.88999938964844
2025-10-31,202.4900054931641
2025-11-03,206.8800048828125
2025-11-04,198.69000244140625
2025-11-05,195.2100067138672
2025-11-06,188.0800018310547
2025-11-07,188.14999389648438
